true_family,true_side,true_slope,true_intercept,true_a1,true_b,true_xc,true_yc,true_noise,rep,best_model,recovered_family,recovered_side,success_family,success_strict,success
GLC,0,-3.0,0.0,0.9486832980505138,-0.0,,,2.5,0,nll_gcc_eq_1,GCC_eq,1,0,0,0
GLC,0,-3.0,0.0,0.9486832980505138,-0.0,,,2.5,1,nll_gcc_eq_2,GCC_eq,2,0,0,0
GLC,0,-3.0,0.0,0.9486832980505138,-0.0,,,5.0,0,nll_gcc_eq_3,GCC_eq,3,0,0,0
GLC,0,-3.0,0.0,0.9486832980505138,-0.0,,,5.0,1,nll_gcc_eq_0,GCC_eq,0,0,0,0
GLC,0,-3.0,0.0,0.9486832980505138,-0.0,,,10.0,0,nll_gcc_eq_0,GCC_eq,0,0,0,0
GLC,0,-3.0,0.0,0.9486832980505138,-0.0,,,10.0,1,nll_gcc_eq_1,GCC_eq,1,0,0,0
GLC,0,-3.0,50.0,0.9486832980505138,-15.811388300841903,,,2.5,0,nll_gcc_eq_0,GCC_eq,0,0,0,0
GLC,0,-3.0,50.0,0.9486832980505138,-15.811388300841903,,,2.5,1,nll_gcc_eq_2,GCC_eq,2,0,0,0
GLC,0,-3.0,50.0,0.9486832980505138,-15.811388300841903,,,5.0,0,nll_gcc_eq_3,GCC_eq,3,0,0,0
GLC,0,-3.0,50.0,0.9486832980505138,-15.811388300841903,,,5.0,1,nll_gcc_eq_1,GCC_eq,1,0,0,0
GLC,0,-3.0,50.0,0.9486832980505138,-15.811388300841903,,,10.0,0,nll_gcc_eq_3,GCC_eq,3,0,0,0
GLC,0,-3.0,50.0,0.9486832980505138,-15.811388300841903,,,10.0,1,nll_gcc_eq_3,GCC_eq,3,0,0,0
GLC,0,-3.0,100.0,0.9486832980505138,-31.622776601683807,,,2.5,0,nll_glc_0,GLC,0,1,1,1
GLC,0,-3.0,100.0,0.9486832980505138,-31.622776601683807,,,2.5,1,nll_gcc_eq_3,GCC_eq,3,0,0,0
GLC,0,-3.0,100.0,0.9486832980505138,-31.622776601683807,,,5.0,0,nll_glc_0,GLC,0,1,1,1
GLC,0,-3.0,100.0,0.9486832980505138,-31.622776601683807,,,5.0,1,nll_gcc_eq_3,GCC_eq,3,0,0,0
GLC,0,-3.0,100.0,0.9486832980505138,-31.622776601683807,,,10.0,0,nll_gcc_eq_1,GCC_eq,1,0,0,0
GLC,0,-3.0,100.0,0.9486832980505138,-31.622776601683807,,,10.0,1,nll_glc_0,GLC,0,1,1,1
GLC,0,0.0,0.0,-0.0,-0.0,,,2.5,0,nll_gcc_eq_3,GCC_eq,3,0,0,0
GLC,0,0.0,0.0,-0.0,-0.0,,,2.5,1,nll_gcc_eq_0,GCC_eq,0,0,0,0
GLC,0,0.0,0.0,-0.0,-0.0,,,5.0,0,nll_gcc_eq_3,GCC_eq,3,0,0,0
GLC,0,0.0,0.0,-0.0,-0.0,,,5.0,1,nll_gcc_eq_0,GCC_eq,0,0,0,0
GLC,0,0.0,0.0,-0.0,-0.0,,,10.0,0,nll_gcc_eq_2,GCC_eq,2,0,0,0
GLC,0,0.0,0.0,-0.0,-0.0,,,10.0,1,nll_gcc_eq_1,GCC_eq,1,0,0,0
GLC,0,0.0,50.0,-0.0,-50.0,,,2.5,0,nll_gcc_eq_3,GCC_eq,3,0,0,0
GLC,0,0.0,50.0,-0.0,-50.0,,,2.5,1,nll_glc_0,GLC,0,1,1,1
GLC,0,0.0,50.0,-0.0,-50.0,,,5.0,0,nll_glc_0,GLC,0,1,1,1
GLC,0,0.0,50.0,-0.0,-50.0,,,5.0,1,nll_gcc_eq_3,GCC_eq,3,0,0,0
GLC,0,0.0,50.0,-0.0,-50.0,,,10.0,0,nll_glc_0,GLC,0,1,1,1
GLC,0,0.0,50.0,-0.0,-50.0,,,10.0,1,nll_gcc_eq_3,GCC_eq,3,0,0,0
GLC,0,0.0,100.0,-0.0,-100.0,,,2.5,0,nll_glc_0,GLC,0,1,1,1
GLC,0,0.0,100.0,-0.0,-100.0,,,2.5,1,nll_glc_0,GLC,0,1,1,1
GLC,0,0.0,100.0,-0.0,-100.0,,,5.0,0,nll_glc_0,GLC,0,1,1,1
GLC,0,0.0,100.0,-0.0,-100.0,,,5.0,1,nll_glc_0,GLC,0,1,1,1
GLC,0,0.0,100.0,-0.0,-100.0,,,10.0,0,nll_glc_0,GLC,0,1,1,1
GLC,0,0.0,100.0,-0.0,-100.0,,,10.0,1,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,0.0,-0.9486832980505138,-0.0,,,2.5,0,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,0.0,-0.9486832980505138,-0.0,,,2.5,1,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,0.0,-0.9486832980505138,-0.0,,,5.0,0,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,0.0,-0.9486832980505138,-0.0,,,5.0,1,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,0.0,-0.9486832980505138,-0.0,,,10.0,0,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,0.0,-0.9486832980505138,-0.0,,,10.0,1,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,50.0,-0.9486832980505138,-15.811388300841903,,,2.5,0,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,50.0,-0.9486832980505138,-15.811388300841903,,,2.5,1,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,50.0,-0.9486832980505138,-15.811388300841903,,,5.0,0,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,50.0,-0.9486832980505138,-15.811388300841903,,,5.0,1,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,50.0,-0.9486832980505138,-15.811388300841903,,,10.0,0,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,50.0,-0.9486832980505138,-15.811388300841903,,,10.0,1,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,100.0,-0.9486832980505138,-31.622776601683807,,,2.5,0,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,100.0,-0.9486832980505138,-31.622776601683807,,,2.5,1,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,100.0,-0.9486832980505138,-31.622776601683807,,,5.0,0,nll_glc_0,GLC,0,1,1,1
GLC,0,3.0,100.0,-0.9486832980505138,-31.622776601683807,,,5.0,1,nll_glc_0,GLC,0,1,1,1
