experiment,condition,subject,block,rep,chunk_index,num_chunks,true_model,recovered_model,true_family,recovered_family,success_strict,success_family
1,new_learn,2,6,0,0,4,nll_unix_0,nll_gcc_eq_1,rule-based,procedural,0,0
1,new_learn,10,6,0,0,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,new_learn,18,6,0,0,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,new_learn,30,6,0,0,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,new_learn,38,6,0,0,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
1,relearn,5,6,0,0,4,nll_unix_1,nll_unix_1,rule-based,rule-based,1,1
1,relearn,13,6,0,0,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,relearn,21,6,0,0,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,relearn,29,6,0,0,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,relearn,37,6,0,0,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,new_learn,46,6,0,0,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,new_learn,54,6,0,0,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
2,new_learn,64,6,0,0,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,new_learn,72,6,0,0,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,new_learn,80,6,0,0,4,nll_glc_0,nll_uniy_0,procedural,rule-based,0,0
2,relearn,47,6,0,0,4,nll_unix_1,nll_unix_1,rule-based,rule-based,1,1
2,relearn,57,6,0,0,4,nll_unix_1,nll_gcc_eq_2,rule-based,procedural,0,0
2,relearn,65,6,0,0,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,relearn,77,6,0,0,4,nll_gcc_eq_2,nll_gcc_eq_2,procedural,procedural,1,1
