experiment,condition,subject,block,rep,chunk_index,num_chunks,true_model,recovered_model,true_family,recovered_family,success_strict,success_family
1,new_learn,6,6,0,2,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
1,new_learn,14,6,0,2,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
1,new_learn,26,6,0,2,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
1,new_learn,34,6,0,2,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
1,relearn,1,6,0,2,4,nll_unix_1,nll_unix_1,rule-based,rule-based,1,1
1,relearn,9,6,0,2,4,nll_bias_guess,nll_rand_guess,guessing,guessing,0,1
1,relearn,17,6,0,2,4,nll_glc_0,nll_unix_1,procedural,rule-based,0,0
1,relearn,25,6,0,2,4,nll_glc_0,nll_unix_1,procedural,rule-based,0,0
1,relearn,33,6,0,2,4,nll_unix_1,nll_unix_1,rule-based,rule-based,1,1
2,new_learn,42,6,0,2,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
2,new_learn,50,6,0,2,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
2,new_learn,58,6,0,2,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
2,new_learn,68,6,0,2,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,new_learn,76,6,0,2,4,nll_uniy_0,nll_uniy_0,rule-based,rule-based,1,1
2,relearn,43,6,0,2,4,nll_unix_1,nll_unix_1,rule-based,rule-based,1,1
2,relearn,53,6,0,2,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,relearn,61,6,0,2,4,nll_glc_0,nll_glc_0,procedural,procedural,1,1
2,relearn,71,6,0,2,4,nll_rand_guess,nll_rand_guess,guessing,guessing,1,1
