experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,relearn,1,0,B,46.60942391638697,66.01788187873518,2.3304711958193485,1.0370064635789658,A,942,Incorrect
2,relearn,1,1,A,3.242883104950181,62.669494756395906,0.16214415524750905,0.9844101216543871,B,1315,Incorrect
2,relearn,1,2,C,100.43618355820995,45.55863969451343,5.021809177910497,0.7156334388591388,A,376,Incorrect
2,relearn,1,3,A,13.103875574496534,31.011233487232555,0.6551937787248266,0.4871233165112379,A,469,Correct
2,relearn,1,4,A,40.641858979832556,42.96960494434086,2.032092948991628,0.6749649761039845,C,807,Incorrect
2,relearn,1,5,A,50.229464068517686,49.447520743136586,2.5114732034258846,0.7767198395243341,C,686,Incorrect
2,relearn,1,6,A,21.21012230911834,62.780511880610675,1.060506115455917,0.9861539745636663,A,652,Correct
2,relearn,1,7,C,86.19862180463372,38.560896050644246,4.309931090231686,0.6057131387427181,D,762,Incorrect
2,relearn,1,8,D,59.252451872989525,14.90852225848936,2.9626225936494763,0.2341825200157504,C,626,Incorrect
2,relearn,1,9,B,60.97668337496938,87.57659261268392,3.0488341687484692,1.37564989989217,C,845,Incorrect
2,relearn,1,10,A,46.25512184606906,50.99395802964021,2.312756092303453,0.8010112196169195,B,583,Incorrect
2,relearn,1,11,B,45.84973284979303,80.96244718757781,2.2924866424896515,1.2717551465057304,B,358,Correct
2,relearn,1,12,C,89.98916672262594,71.45435898365771,4.499458336131297,1.1224024462501347,B,601,Incorrect
2,relearn,1,13,D,48.5189075626485,-1.5114037980136459,2.425945378132425,-0.023741075342236906,C,889,Incorrect
2,relearn,1,14,C,60.89248456410765,38.6541866000951,3.0446242282053824,0.6071785432667389,C,855,Correct
2,relearn,1,15,D,28.4467028388895,27.82647817757387,1.4223351419444752,0.43709729708971373,B,1298,Incorrect
2,relearn,1,16,D,75.45433863550176,17.274719964624573,3.7727169317750877,0.27135066666842744,C,917,Incorrect
2,relearn,1,17,A,10.390603825491201,41.06278183923215,0.51953019127456,0.6450126688104605,A,1002,Correct
2,relearn,1,18,D,52.66059724795424,8.423989810815208,2.633029862397712,0.13232372251786165,B,580,Incorrect
2,relearn,1,19,A,36.504471813902214,35.33133443367697,1.8252235906951109,0.5549833034918183,B,570,Incorrect
2,relearn,1,20,A,34.53583289130638,48.831605319394924,1.7267916445653189,0.7670450626720366,B,278,Incorrect
2,relearn,1,21,C,60.59727418123865,45.19653212598201,3.0298637090619325,0.7099454664736008,B,360,Incorrect
2,relearn,1,22,C,73.16404745876304,54.13748171888871,3.6582023729381516,0.8503895742595625,B,252,Incorrect
2,relearn,1,23,C,82.8834514275752,24.391885809551468,4.14417257137876,0.38314684633244006,B,921,Incorrect
2,relearn,1,24,D,50.08951845106673,11.549808376596275,2.5044759225533366,0.18142396573142355,B,446,Incorrect
2,relearn,1,25,A,26.19451824115517,41.412754798917426,1.3097259120577585,0.6505100312059722,B,266,Incorrect
2,relearn,1,26,C,94.36545514168903,43.72760515176494,4.718272757084452,0.6868716155192996,B,574,Incorrect
2,relearn,1,27,C,60.89598660495393,43.627474620348536,3.0447993302476966,0.6852987688098106,A,591,Incorrect
2,relearn,1,28,B,26.375611929930585,85.60749008906404,1.3187805964965293,1.344719309780323,C,311,Incorrect
2,relearn,1,29,D,38.88626786924712,36.74416017110718,1.944313393462356,0.5771759182793849,C,830,Incorrect
2,relearn,1,30,C,95.46520328099878,61.90349710448123,4.773260164049939,0.9723778586747766,D,379,Incorrect
2,relearn,1,31,B,36.10216769688085,82.95649012648721,1.8051083848440426,1.303077499744832,D,317,Incorrect
2,relearn,1,32,D,35.808126570341074,30.482597488079666,1.7904063285170537,0.4788195216544288,C,253,Incorrect
2,relearn,1,33,A,7.450509094711986,66.70230095617934,0.37252545473559934,1.0477572933073422,B,313,Incorrect
2,relearn,1,34,C,82.41779035467874,49.27919374041505,4.1208895177339375,0.7740757651485801,B,571,Incorrect
2,relearn,1,35,B,53.168836414825044,72.01226663877098,2.658441820741252,1.1311660392035614,A,379,Incorrect
2,relearn,1,36,A,39.293985389966345,30.760810760158968,1.9646992694983172,0.48318968551290636,A,287,Correct
2,relearn,1,37,D,37.304065019845524,21.37513105630603,1.8652032509922762,0.3357597734800503,D,427,Correct
2,relearn,1,38,D,34.405317371617066,45.25422603161202,1.7202658685808532,0.7108517202240214,D,451,Correct
2,relearn,1,39,D,32.802637962488184,29.714030068816168,1.640131898124409,0.4667468928636954,A,276,Incorrect
2,relearn,1,40,A,29.653118617211277,76.12322245281268,1.4826559308605638,1.1957407821266894,D,280,Incorrect
2,relearn,1,41,D,72.39191882430595,36.799536679469256,3.619595941215297,0.5780457704386437,D,345,Correct
2,relearn,1,42,C,94.90799273797317,63.32916701825554,4.745399636898659,0.9947722293125631,D,681,Incorrect
2,relearn,1,43,D,55.66164199208937,4.280424586573005,2.7830820996044685,0.06723675217711442,C,320,Incorrect
2,relearn,1,44,C,68.68044752740678,25.58930040059592,3.434022376370339,0.4019557907450725,D,1836,Incorrect
2,relearn,1,45,C,98.03245370200605,59.801006120256226,4.901622685100302,0.939352007523376,C,1515,Correct
2,relearn,1,46,B,36.06229032569838,57.148508105315145,1.8031145162849187,0.8976866661363742,C,459,Incorrect
2,relearn,1,47,B,71.83914224342999,78.40881866016971,3.5919571121714995,1.2316428433972173,C,328,Incorrect
2,relearn,1,48,D,59.19820988153111,28.24692638736006,2.9599104940765555,0.44370168212511013,C,279,Incorrect
2,relearn,1,49,B,25.841272033326092,66.0030139033214,1.2920636016663047,1.0367729179672975,A,625,Incorrect
2,relearn,1,50,C,58.994961696899956,48.48841782678888,2.9497480848449977,0.7616542861441614,D,530,Incorrect
2,relearn,1,51,A,27.427677876871464,69.00150113637547,1.3713838938435732,1.0838730452835246,C,332,Incorrect
2,relearn,1,52,A,38.35918479395402,62.1130271364103,1.9179592396977012,0.9756691487198504,C,665,Incorrect
2,relearn,1,53,D,59.20405692526967,24.180087536715078,2.9602028462634835,0.37981992684251104,D,468,Correct
2,relearn,1,54,C,61.36725411248175,48.34836290035928,3.0683627056240876,0.7594543085043101,D,318,Incorrect
