experiment,condition,subject,trial,cat,x,y,xt,yt,resp,rt,fb
2,new_learn,14,0,C,75.9175042418211,48.36906983123739,3.7958752120910555,0.7597795722139354,A,11630,Incorrect
2,new_learn,14,1,B,57.71532133238892,91.91086991852568,2.885766066619446,1.4437325686054368,A,1087,Incorrect
2,new_learn,14,2,C,67.03221720759878,69.2313588735067,3.351610860379939,1.0874836421752359,A,556,Incorrect
2,new_learn,14,3,A,22.114804879489764,45.52378600833728,1.1057402439744883,0.7150859584369311,B,1597,Incorrect
2,new_learn,14,4,B,42.75919084565402,63.56691629930285,2.137959542282701,0.9985067862862356,C,1103,Incorrect
2,new_learn,14,5,C,76.11661583174319,54.50237545295315,3.805830791587159,0.8561213116309515,D,443,Incorrect
2,new_learn,14,6,C,75.1493730398143,30.98170697593254,3.7574686519907146,0.48665951515630657,D,646,Incorrect
2,new_learn,14,7,C,92.78371928365748,39.63018427976787,4.639185964182874,0.6225094789686423,C,1008,Correct
2,new_learn,14,8,A,41.442508493374966,45.70170480107455,2.0721254246687484,0.7178807002979258,C,491,Incorrect
2,new_learn,14,9,C,85.62016851076586,44.85890547372035,4.281008425538293,0.704642039421594,C,478,Correct
2,new_learn,14,10,A,38.61933801356486,41.65778822126471,1.9309669006782428,0.6543590072036232,D,494,Incorrect
2,new_learn,14,11,B,39.92135209043215,79.46148961674771,1.9960676045216075,1.2481781601163813,D,1148,Incorrect
2,new_learn,14,12,B,54.61967041484874,97.82795795894582,2.7309835207424373,1.5366779701975766,A,855,Incorrect
2,new_learn,14,13,B,29.93637716163593,75.05328333976351,1.4968188580817965,1.1789342178399713,B,588,Correct
2,new_learn,14,14,A,47.0324299817743,64.84626786061612,2.351621499088715,1.0186027936181377,C,521,Incorrect
2,new_learn,14,15,C,53.45715078607691,54.26326251533029,2.6728575393038456,0.8523653343898802,C,475,Correct
2,new_learn,14,16,C,89.31060853799887,29.723377194949382,4.465530426899943,0.4668937171776569,C,720,Correct
2,new_learn,14,17,B,61.552499205123986,95.32211732869162,3.0776249602561996,1.4973163176222095,B,1035,Correct
2,new_learn,14,18,D,67.81894402226797,21.161430975420252,3.390947201113398,0.33240298045913874,A,841,Incorrect
2,new_learn,14,19,C,98.31283850735494,53.36208056480923,4.915641925367748,0.8382096014133569,C,909,Correct
2,new_learn,14,20,B,56.65498917198872,98.92015246226497,2.832749458599436,1.5538341213371694,D,995,Incorrect
2,new_learn,14,21,C,75.05466012683348,45.868742017453165,3.752733006341674,0.7205045147571817,C,544,Correct
